run,review_priority,model,case_origin,subtype_auto,race,driver,suggestion_lap,nearest_future_pit_distance,failure_type_suggested,context_source_suggested,notes_suggested
full,5,MOA,excluded_no_match,near_miss_3_5,2022 :: Monaco Grand Prix,ZHO,16,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,5,MOA,excluded_no_match,near_miss_3_5,2022 :: Spanish Grand Prix,VER,8,5.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,5,SDE,excluded_no_match,near_miss_3_5,2022 :: São Paulo Grand Prix,ALO,48,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,5,SDE,excluded_no_match,near_miss_3_5,2024 :: Bahrain Grand Prix,HUL,16,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,5,SDE,excluded_no_match,near_miss_3_5,2024 :: Emilia Romagna Grand Prix,RUS,14,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,5,SDE,excluded_no_match,near_miss_3_5,2025 :: Hungarian Grand Prix,LAT,13,5.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,5,SDE,excluded_no_match,near_miss_3_5,2025 :: São Paulo Grand Prix,LAT,28,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,MOA,excluded_no_match,near_miss_3_5,2022 :: Bahrain Grand Prix,RIC,41,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,MOA,excluded_no_match,near_miss_3_5,2022 :: Hungarian Grand Prix,ZHO,23,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,MOA,excluded_no_match,near_miss_3_5,2023 :: Austrian Grand Prix,LAT,9,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,MOA,excluded_no_match,near_miss_3_5,2023 :: Spanish Grand Prix,TSU,27,5.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,MOA,excluded_no_match,near_miss_3_5,2024 :: British Grand Prix,VER,30,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,MOA,excluded_no_match,near_miss_3_5,2025 :: Australian Grand Prix,NOR,31,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,MOA,excluded_no_match,near_miss_3_5,2025 :: British Grand Prix,STR,27,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,MOA,excluded_no_match,near_miss_3_5,2025 :: Canadian Grand Prix,ZHO,46,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,SDE,excluded_no_match,near_miss_3_5,2023 :: Belgian Grand Prix,MAG,22,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,SDE,excluded_no_match,near_miss_3_5,2023 :: Las Vegas Grand Prix,RUS,10,5.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,SDE,excluded_no_match,near_miss_3_5,2025 :: Emilia Romagna Grand Prix,TSU,14,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
p1,5,SDE,excluded_no_match,near_miss_3_5,2025 :: Monaco Grand Prix,ALB,44,5.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,3,MOA,excluded_no_match,far_miss_6_plus,2023 :: Abu Dhabi Grand Prix,GAS,21,11.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
full,3,MOA,excluded_no_match,far_miss_6_plus,2024 :: Mexico City Grand Prix,VER,13,6.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
full,3,MOA,excluded_no_match,far_miss_6_plus,2025 :: Austrian Grand Prix,HAM,29,13.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
full,3,MOA,excluded_no_match,far_miss_6_plus,2025 :: Mexico City Grand Prix,HAM,37,10.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
full,3,MOA,excluded_no_match,far_miss_6_plus,2025 :: Saudi Arabian Grand Prix,STR,20,19.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
full,3,SDE,excluded_no_match,far_miss_6_plus,2023 :: São Paulo Grand Prix,LAT,46,6.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
full,3,SDE,excluded_no_match,far_miss_6_plus,2024 :: Monaco Grand Prix,STR,45,6.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
p1,3,MOA,excluded_no_match,far_miss_6_plus,2022 :: Australian Grand Prix,RIC,14,7.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
p1,3,MOA,excluded_no_match,far_miss_6_plus,2025 :: British Grand Prix,DEV,18,9.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
p1,3,MOA,excluded_no_match,far_miss_6_plus,2025 :: Chinese Grand Prix,STR,28,7.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
p1,3,SDE,excluded_no_match,far_miss_6_plus,2022 :: São Paulo Grand Prix,HAM,23,6.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window."
